Switches:
Stage ID: 00
  01  from    STOLENSISTER  in sea/Stage (Event)
  35  from         AND_SW2  in sea/Room39
  35  from           Dsaku  in sea/Room39
  36  from          Ebrock  in sea/Room34
  36  from          AttTag  in sea/Room34
  36  from          AttTag  in sea/Room34
  37  from             Kui  in ADMumi/Room0
  37  from           TagEv  in ADMumi/Room0
  37  from           TagEv  in ADMumi/Room0
  37  from           TagEv  in ADMumi/Room0
  37  from             Kui  in sea/Room26
  38  from           Ekskz  in sea/Room4
  38  from         WindTag  in sea/Room4
  38  from         WindTag  in sea/Room4
  38  from         WindTag  in sea/Room4
  39  from        JMP_DEMO  in ADMumi/Stage (Event)
  39  from           TagEv  in ADMumi/Room0
  39  from           TagEv  in ADMumi/Room0
  39  from           TagEv  in ADMumi/Room0
  3A  from           Oship  in sea/Room30
  3C  from         osiBLK0  in sea/Room13
  3D  from         osiBLK0  in sea/Room13
  3E  from    TELOP_PULOLO  in sea/Stage (Event)
  3F  from     TELOP_TAURA  in sea/Stage (Event)
  3F  from           TagEv  in sea/Room11
  3F  from           TagEv  in sea/Room11
  3F  from           TagEv  in sea/Room11
  3F  from           TagEv  in sea/Room11
  3F  from           TagEv  in sea/Room11
  41  from          Ebrock  in sea/Room13
  43  from          Ebrock  in sea/Room13
  44  from          Ebrock  in sea/Room13
  45  from           Ecube  in sea/Room13
  45  from           Ecube  in sea/Room13
  45  from         Ebrock2  in sea/Room13
  46  from          SW_C00  in sea/Room13
  46  from         AttTagB  in sea/Room13
  47  from         SW_HIT0  in sea/Room41
  47  from              Mn  in sea/Room41
  48  from    R29LOOK_MORI  in sea/Stage (Event)
  4B  from        warphole  in ADMumi/Stage (Event)
  4C  from           Oship  in sea/Room30
  4D  from           Oship  in sea/Room30
  4E  from           Oship  in sea/Room30
  4F  from            Fire  in sea/Room38
  4F  from         AND_SW2  in sea/Room38
  50  from        BirdLook  in sea/Stage (Event)
  50  from           TagEv  in sea/Room14
  51  from  R29LOOK_TAKARA  in sea/Stage (Event)
  51  from           TagEv  in sea/Room41/Layer7
  52  from  R29LOOK_KINDAN  in sea/Stage (Event)
  53  from  R29LOOK_MANTEN  in sea/Stage (Event)
  54  from    R29LOOK_SHIP  in sea/Stage (Event)
  55  from          towerd  in ADMumi/Stage (Event)
  55  from          towerf  in ADMumi/Stage (Event)
  55  from          towern  in ADMumi/Stage (Event)
  56  from  runaway_majuto  in ADMumi/Stage (Event)
  57  from          MjDoor  in sea/Room1
  58  from           TagEv  in sea/Room1
  58  from           TagEv  in sea/Room1
  58  from           TagEv  in sea/Room1
  59  from     ARRIVAL_WND  in sea/Stage (Event)
  59  from          TagIsl  in sea/Room4
  5A  from     ARRIVAL_GND  in sea/Stage (Event)
  5A  from          TagIsl  in sea/Room45
  5B  from     ARRIVAL_TWN  in sea/Stage (Event)
  5B  from          TagIsl  in sea/Room11/Layer2
  5B  from          TagIsl  in sea/Room11/Layer3
  5C  from           awake  in sea/Stage (Event)
  5D  from          tkrBMs  in sea/Room11/Layer1
  5D  from          tkrBMs  in sea/Room11/Layer3
  5D  from          tkrBMs  in sea/Room11/Layer5
  5E  from          Mhsg15  in sea/Room41
  5E  from              Mn  in sea/Room41
  5F  from         AND_SW2  in sea/Room24
  5F  from         takara5  in sea/Room24
  60  from         AND_SW2  in sea/Room22
  60  from         takara5  in sea/Room22
  61  from         AND_SW2  in sea/Room46
  61  from         takara5  in sea/Room46
  62  from         AND_SW2  in sea/Room8
  62  from         takara5  in sea/Room8
  63  from         AND_SW2  in sea/Room37
  63  from         takara5  in sea/Room37
  64  from         AND_SW2  in sea/Room25
  64  from         takara5  in sea/Room25
  65  from              Bk  in sea/Room1/Layer1
  66  from              Bk  in sea/Room1/Layer1
  67  from              Bk  in sea/Room1/Layer1
  6A  from         takara6  in sea/Room1
  6B  from             Hr2  in sea/Room9
  6B  from         ky_tag0  in sea/Room9
  6B  from             Hr2  in sea/Room18
  6B  from         ky_tag0  in sea/Room18
  6B  from             Hr2  in sea/Room38
  6B  from         ky_tag0  in sea/Room38
  6C  from            Ekao  in sea/Room44
  6C  from            Ekao  in sea_T/Room44
  6D  from       fairy_Jmp  in sea/Stage (Event)
  6D  from           TagEv  in sea/Room9
  6E  from           fairy  in sea/Stage (Event)
  6F  from          Ebrock  in sea/Room13
  70  from         MhmrSW0  in sea/Room1/Layer1
  70  from          AttTag  in sea/Room1/Layer1
  70  from          kotubo  in sea/Room13/Layer7
  70  from          kotubo  in sea/Room13/Layer7
  71  from      awake_zola  in sea/Stage (Event)
  71  from         ootubo1  in sea/Room41/Layer7
  72  from          ending  in ENDumi/Stage (Event)
  72  from         ootubo1  in sea_T/Room44
  73  from          AttTag  in sea/Room13
  73  from          SW_C00  in sea/Room13
  74  from   PUROLO_RETURN  in sea/Stage (Event)
  74  from          TagIsl  in sea/Room44
  77  from           TagHt  in sea/Room1/Layer1
  7A  from         ootubo1  in sea/Room44
  7B  from          kotubo  in sea/Room11
  7C  from          kotubo  in sea/Room11
Room sea/Room1
  E0  from          Fganon  in sea/Room1/Layer1
  E0  from          FgTrap  in sea/Room1/Layer1
  E0  from          FgTrap  in sea/Room1/Layer1
  E0  from           TagHt  in sea/Room1/Layer1
  E0  from           Akabe  in sea/Room1/Layer2
  E0  from           Akabe  in sea/Room1/Layer3
  E1  from            Puti  in sea/Room1/Layer1
  E1  from            Puti  in sea/Room1/Layer1
  E1  from            Puti  in sea/Room1/Layer1
  E1  from            Puti  in sea/Room1/Layer1
  E1  from          SW_C00  in sea/Room1/Layer1
  E5  from          Ocanon  in sea/Room1/Layer1
  E5  from            Puti  in sea/Room1/Layer1
  E5  from            Puti  in sea/Room1/Layer1
  E5  from            Puti  in sea/Room1/Layer1
  E5  from            Puti  in sea/Room1/Layer1
  E5  from            Puti  in sea/Room1/Layer1
  E6  from            Puti  in sea/Room1/Layer1
  E6  from            Puti  in sea/Room1/Layer1
  E7  from            Puti  in sea/Room1/Layer1
  E7  from            Puti  in sea/Room1/Layer1
  E7  from            Puti  in sea/Room1/Layer1
  E7  from            Puti  in sea/Room1/Layer1
Room sea/Room2
  E0  from          Ebrock  in sea/Room2
  E0  from         AND_SW2  in sea/Room2
  E0  from            Puti  in sea/Room2
  E0  from            Puti  in sea/Room2
  E0  from            Puti  in sea/Room2
  E0  from            Puti  in sea/Room2
  E0  from            Puti  in sea/Room2
  E0  from            Puti  in sea/Room2
  E1  from         AND_SW2  in sea/Room2
  E1  from            Puti  in sea/Room2
  E1  from            Puti  in sea/Room2
  E1  from            Puti  in sea/Room2
  E1  from            Puti  in sea/Room2
  E1  from            Puti  in sea/Room2
  E1  from            Puti  in sea/Room2
Room sea/Room6
  E0  from           wiz_r  in sea/Room6
  E0  from          SW_C00  in sea/Room6
  E1  from           wiz_r  in sea/Room6
  E1  from         AND_SW2  in sea/Room6
  E1  from          tkrAOs  in sea/Room6
  E2  from           wiz_r  in sea/Room6
  E2  from         AND_SW2  in sea/Room6
  E2  from          tkrAOs  in sea/Room6
  E3  from           wiz_r  in sea/Room6
  E3  from         AND_SW2  in sea/Room6
  E4  from           wiz_r  in sea/Room6
  E4  from         AND_SW2  in sea/Room6
  E4  from           wiz_r  in sea/Room6
  E5  from           wiz_r  in sea/Room6
  E5  from         AND_SW2  in sea/Room6
  E6  from           wiz_r  in sea/Room6
  E6  from         AND_SW2  in sea/Room6
  E7  from         AND_SW2  in sea/Room6
  E7  from         takara5  in sea/Room6
Room sea/Room8
  E0  from           Oship  in sea/Room8
  E0  from         AND_SW2  in sea/Room8
  E1  from           Oship  in sea/Room8
  E1  from         AND_SW2  in sea/Room8
  E2  from          Ocanon  in sea/Room8
  E2  from         AND_SW2  in sea/Room8
  E3  from          Ocanon  in sea/Room8
  E3  from         AND_SW2  in sea/Room8
  E4  from          Ocanon  in sea/Room8
  E4  from         AND_SW2  in sea/Room8
  E5  from          Ocanon  in sea/Room8
  E5  from         AND_SW2  in sea/Room8
Room sea/Room12
  E0  from          SW_C00  in sea/Room12
  E0  from          AttTag  in sea/Room12
  E1  from          SW_C00  in sea/Room12
  E1  from          AttTag  in sea/Room12
  E2  from         AND_SW2  in sea/Room12
  E2  from              Bk  in sea/Room12
  E3  from         AND_SW2  in sea/Room12
  E3  from              Bk  in sea/Room12
  E4  from         AND_SW2  in sea/Room12
  E4  from          tkrAOs  in sea/Room12
Room sea/Room13
  E2  from            Evsw  in sea/Room13
  E2  from          AttTag  in sea/Room13
  E3  from            Evsw  in sea/Room13
  E3  from         AttTagB  in sea/Room13
  E4  from            Evsw  in sea/Room13
  E4  from         AttTagB  in sea/Room13
  E5  from            Evsw  in sea/Room13
  E5  from          SW_C00  in sea/Room13
  E6  from         AttTagB  in sea/Room13
  E6  from          SW_C00  in sea/Room13
Room sea/Room16
  E0  from          Ocanon  in sea/Room16
  E0  from         AND_SW2  in sea/Room16
  E1  from          Ocanon  in sea/Room16
  E1  from         AND_SW2  in sea/Room16
  E2  from          Ocanon  in sea/Room16
  E2  from         AND_SW2  in sea/Room16
  E3  from          Ocanon  in sea/Room16
  E3  from         AND_SW2  in sea/Room16
  E4  from          Ocanon  in sea/Room16
  E4  from         AND_SW2  in sea/Room16
  E5  from          Ocanon  in sea/Room16
  E5  from         AND_SW2  in sea/Room16
  E6  from          Ocanon  in sea/Room16
  E6  from         AND_SW2  in sea/Room16
  E7  from          Ocanon  in sea/Room16
  E7  from         AND_SW2  in sea/Room16
  E8  from         AND_SW2  in sea/Room16
  E8  from          tkrAOs  in sea/Room16
  E9  from         AND_SW2  in sea/Room16
  E9  from          tkrAOs  in sea/Room16
Room sea/Room19
  E0  from         AND_SW2  in sea/Room19
  E0  from          Ocanon  in sea/Room19
  E1  from         AND_SW2  in sea/Room19
  E1  from          Ocanon  in sea/Room19
  E2  from         AND_SW2  in sea/Room19
  E2  from          Ocanon  in sea/Room19
  E3  from         AND_SW2  in sea/Room19
  E3  from          Ocanon  in sea/Room19
  E4  from         AND_SW2  in sea/Room19
  E4  from              Bk  in sea/Room19
  E5  from         AND_SW2  in sea/Room19
  E5  from              Bk  in sea/Room19
  E6  from         AND_SW2  in sea/Room19
  E6  from              Bk  in sea/Room19
  E7  from         AND_SW2  in sea/Room19
  E7  from          tkrAOs  in sea/Room19
Room sea/Room20
  E0  from          Ocanon  in sea/Room20
  E0  from         AND_SW2  in sea/Room20
  E1  from          Ocanon  in sea/Room20
  E1  from         AND_SW2  in sea/Room20
  E2  from          Ocanon  in sea/Room20
  E2  from         AND_SW2  in sea/Room20
  E3  from          Ocanon  in sea/Room20
  E3  from         AND_SW2  in sea/Room20
  E4  from         AND_SW2  in sea/Room20
  E4  from          tkrAOs  in sea/Room20
Room sea/Room21
  E0  from         AND_SW2  in sea/Room21
  E0  from          Ocanon  in sea/Room21
  E1  from         AND_SW2  in sea/Room21
  E1  from          Ocanon  in sea/Room21
  E2  from         AND_SW2  in sea/Room21
  E2  from          Ocanon  in sea/Room21
  E3  from         AND_SW2  in sea/Room21
  E3  from          Ocanon  in sea/Room21
  E4  from         AND_SW2  in sea/Room21
Room sea/Room22
  E0  from          Ocanon  in sea/Room22
  E0  from         AND_SW2  in sea/Room22
  E1  from          Ocanon  in sea/Room22
  E1  from         AND_SW2  in sea/Room22
  E2  from          Ocanon  in sea/Room22
  E2  from         AND_SW2  in sea/Room22
  E3  from          Ocanon  in sea/Room22
  E3  from         AND_SW2  in sea/Room22
  E4  from          Ocanon  in sea/Room22
  E4  from         AND_SW2  in sea/Room22
  E5  from          Ocanon  in sea/Room22
  E5  from         AND_SW2  in sea/Room22
  E6  from           Oship  in sea/Room22
  E6  from         AND_SW2  in sea/Room22
Room sea/Room24
  E0  from          Ocanon  in sea/Room24
  E0  from         AND_SW2  in sea/Room24
  E1  from          Ocanon  in sea/Room24
  E1  from         AND_SW2  in sea/Room24
  E2  from          Ocanon  in sea/Room24
  E2  from         AND_SW2  in sea/Room24
  E3  from          Ocanon  in sea/Room24
  E3  from         AND_SW2  in sea/Room24
  E4  from          Ocanon  in sea/Room24
  E4  from         AND_SW2  in sea/Room24
  E5  from          Ocanon  in sea/Room24
  E5  from         AND_SW2  in sea/Room24
  E6  from          Ocanon  in sea/Room24
  E6  from         AND_SW2  in sea/Room24
  E7  from          Ocanon  in sea/Room24
  E7  from         AND_SW2  in sea/Room24
  E8  from           Oship  in sea/Room24
  E8  from         AND_SW2  in sea/Room24
  E9  from              Bk  in sea/Room24
  E9  from         AND_SW2  in sea/Room24
  EA  from              Bk  in sea/Room24
  EA  from         AND_SW2  in sea/Room24
  EB  from              Bk  in sea/Room24
  EB  from         AND_SW2  in sea/Room24
  EC  from              Bk  in sea/Room24
  EC  from         AND_SW2  in sea/Room24
  ED  from         AND_SW2  in sea/Room24
  ED  from          tkrAOs  in sea/Room24
Room sea/Room25
  E0  from          Ocanon  in sea/Room25
  E0  from         AND_SW2  in sea/Room25
  E1  from          Ocanon  in sea/Room25
  E1  from         AND_SW2  in sea/Room25
  E2  from          Ocanon  in sea/Room25
  E2  from         AND_SW2  in sea/Room25
  E3  from          Ocanon  in sea/Room25
  E3  from         AND_SW2  in sea/Room25
  E4  from          Ocanon  in sea/Room25
  E4  from         AND_SW2  in sea/Room25
  E5  from          Ocanon  in sea/Room25
  E5  from         AND_SW2  in sea/Room25
  E6  from           Oship  in sea/Room25
  E6  from         AND_SW2  in sea/Room25
  E7  from           Oship  in sea/Room25
  E7  from         AND_SW2  in sea/Room25
  E8  from          Ocanon  in sea/Room25
  E8  from         AND_SW2  in sea/Room25
  E9  from          Ocanon  in sea/Room25
  E9  from         AND_SW2  in sea/Room25
  EA  from          Ocanon  in sea/Room25
  EA  from         AND_SW2  in sea/Room25
  EB  from          Ocanon  in sea/Room25
  EB  from         AND_SW2  in sea/Room25
  EC  from         AND_SW2  in sea/Room25
  EC  from          tkrAOs  in sea/Room25
Room sea/Room28
  E0  from         AND_SW0  in sea/Room28
  E0  from         AND_SW2  in sea/Room28
  E1  from          Ocanon  in sea/Room28
  E1  from         AND_SW2  in sea/Room28
  E2  from          Ocanon  in sea/Room28
  E2  from         AND_SW2  in sea/Room28
  E3  from          Ocanon  in sea/Room28
  E3  from         AND_SW2  in sea/Room28
  E4  from          Ocanon  in sea/Room28
  E4  from         AND_SW2  in sea/Room28
  E5  from         AND_SW2  in sea/Room28
  E5  from          tkrAOs  in sea/Room28
  E6  from              Bk  in sea/Room28
  E6  from         AND_SW2  in sea/Room28
  E7  from              Bk  in sea/Room28
  E7  from         AND_SW2  in sea/Room28
  E8  from              Bk  in sea/Room28
  E8  from         AND_SW2  in sea/Room28
  E9  from              Bk  in sea/Room28
  E9  from         AND_SW2  in sea/Room28
  EA  from         AND_SW2  in sea/Room28
  EA  from          tkrAOs  in sea/Room28
Room sea/Room30
  E0  from           wiz_r  in sea/Room30
  E0  from           wiz_r  in sea/Room30
  E0  from          SW_C00  in sea/Room30
  E1  from         AND_SW2  in sea/Room30
  E1  from           wiz_r  in sea/Room30
  E2  from         AND_SW2  in sea/Room30
  E2  from           wiz_r  in sea/Room30
  E3  from         AND_SW2  in sea/Room30
  E3  from              Bk  in sea/Room30
  E4  from         AND_SW2  in sea/Room30
  E4  from              Bk  in sea/Room30
  E5  from         AND_SW2  in sea/Room30
  E5  from          tkrAOs  in sea/Room30
Room sea/Room31
  E0  from          Ocanon  in sea/Room31
  E0  from         AND_SW2  in sea/Room31
  E1  from          Ocanon  in sea/Room31
  E1  from         AND_SW2  in sea/Room31
  E2  from          Ocanon  in sea/Room31
  E2  from         AND_SW2  in sea/Room31
  E3  from          Ocanon  in sea/Room31
  E3  from         AND_SW2  in sea/Room31
  E4  from         AND_SW2  in sea/Room31
  E4  from          Ocanon  in sea/Room31
  E5  from         AND_SW2  in sea/Room31
  E5  from          Ocanon  in sea/Room31
  E5  from           TagHt  in sea/Room31
  E6  from         AND_SW2  in sea/Room31
  E6  from          Ocanon  in sea/Room31
  E7  from         AND_SW2  in sea/Room31
  E7  from          Ocanon  in sea/Room31
  E8  from         AND_SW2  in sea/Room31
  E8  from         takara6  in sea/Room31
Room sea/Room34
  E0  from         AND_SW2  in sea/Room34
  E0  from              Bk  in sea/Room34
  E1  from         AND_SW2  in sea/Room34
  E1  from              Bk  in sea/Room34
  E2  from         AND_SW2  in sea/Room34
  E2  from          tkrAOs  in sea/Room34
Room sea/Room35
  E1  from           Akabe  in sea/Room35
  E2  from         SW_HIT0  in sea/Room35
  E2  from         AND_SW2  in sea/Room35
  E3  from         AND_SW2  in sea/Room35
  E3  from         SW_HIT0  in sea/Room35
  E4  from         AND_SW2  in sea/Room35
  E4  from         SW_HIT0  in sea/Room35
  E5  from         AND_SW2  in sea/Room35
  E5  from         SW_HIT0  in sea/Room35
  E6  from         AND_SW2  in sea/Room35
  E6  from         SW_HIT0  in sea/Room35
  E7  from         AND_SW2  in sea/Room35
  E7  from         SW_HIT0  in sea/Room35
Room sea/Room37
  E0  from          Ocanon  in sea/Room37
  E0  from         AND_SW2  in sea/Room37
  E1  from          Ocanon  in sea/Room37
  E1  from         AND_SW2  in sea/Room37
  E2  from          Ocanon  in sea/Room37
  E2  from         AND_SW2  in sea/Room37
  E3  from          Ocanon  in sea/Room37
  E3  from         AND_SW2  in sea/Room37
  E4  from          Ocanon  in sea/Room37
  E4  from         AND_SW2  in sea/Room37
  E5  from          Ocanon  in sea/Room37
  E5  from         AND_SW2  in sea/Room37
  E6  from          Ocanon  in sea/Room37
  E6  from         AND_SW2  in sea/Room37
  E7  from          Ocanon  in sea/Room37
  E7  from         AND_SW2  in sea/Room37
  E8  from          Ocanon  in sea/Room37
  E8  from         AND_SW2  in sea/Room37
  E9  from          Ocanon  in sea/Room37
  E9  from         AND_SW2  in sea/Room37
  EA  from         AND_SW2  in sea/Room37
  EB  from         AND_SW2  in sea/Room37
  EC  from         AND_SW2  in sea/Room37
Room sea/Room38
  E0  from         AND_SW0  in sea/Room38
  E0  from         AND_SW2  in sea/Room38
  E1  from         SW_HIT0  in sea/Room38
  E1  from         AND_SW0  in sea/Room38
  E2  from         MhmrSW0  in sea/Room38
  E2  from         AND_SW0  in sea/Room38
  E3  from         Kbota_A  in sea/Room38
  E3  from         AND_SW0  in sea/Room38
  E4  from         Hhbot1N  in sea/Room38
  E4  from         AND_SW0  in sea/Room38
  E5  from         AND_SW2  in sea/Room38
  E5  from         AND_SW2  in sea/Room38
  E5  from         WindTag  in sea/Room38
Room sea/Room39
  E0  from          Ocanon  in sea/Room39
  E0  from         AND_SW2  in sea/Room39
  E1  from          Ocanon  in sea/Room39
  E1  from         AND_SW2  in sea/Room39
  E2  from          Ocanon  in sea/Room39
  E2  from         AND_SW2  in sea/Room39
  E3  from          Ocanon  in sea/Room39
  E3  from         AND_SW2  in sea/Room39
  E4  from         AND_SW2  in sea/Room39
  E4  from          Ocanon  in sea/Room39
  E5  from         AND_SW2  in sea/Room39
  E5  from          Ocanon  in sea/Room39
  E6  from         AND_SW2  in sea/Room39
  E6  from          Ocanon  in sea/Room39
  E7  from         AND_SW2  in sea/Room39
  E7  from          Ocanon  in sea/Room39
  E8  from         AND_SW2  in sea/Room39
  E8  from         takara5  in sea/Room39
  E9  from         AND_SW2  in sea/Room39
  E9  from          tkrAOs  in sea/Room39
Room sea/Room40
  E0  from            item  in sea/Room40
Room sea/Room41
  E0  from          SW_C00  in sea/Room41
  E0  from          SW_C00  in sea/Room41/Layer7
  E1  from          AttTag  in sea/Room41
  E1  from          SW_C00  in sea/Room41
  E2  from           Akabe  in sea/Room41
  E2  from           Akabe  in sea/Room41
  E2  from           Akabe  in sea/Room41
  E2  from           Akabe  in sea/Room41/Layer7
  E2  from           Akabe  in sea/Room41/Layer7
  E2  from           Akabe  in sea/Room41/Layer7
  E3  from         bonbori  in sea/Room41/Layer0
  E4  from         bonbori  in sea/Room41/Layer0
  ED  from         Odokuro  in sea/Room41/Layer7
  EE  from         Odokuro  in sea/Room41
Room sea/Room42
  E0  from           wiz_r  in sea/Room42
  E0  from          SW_C00  in sea/Room42
Room sea/Room43
  E0  from         AND_SW2  in sea/Room43
  E0  from           Akabe  in sea/Room43
  E0  from           Akabe  in sea/Room43
  E0  from           Akabe  in sea/Room43
  E0  from           Akabe  in sea/Room43
  E1  from         AND_SW2  in sea/Room43
  E1  from           Akabe  in sea/Room43
  E1  from           Akabe  in sea/Room43
  E2  from         AND_SW2  in sea/Room43
  E2  from         AND_SW2  in sea/Room43
  E2  from           Akabe  in sea/Room43
  E2  from           Akabe  in sea/Room43
  E2  from           Akabe  in sea/Room43
  E3  from         Kbota_A  in sea/Room43
  E3  from         AND_SW2  in sea/Room43
  E4  from         AND_SW2  in sea/Room43
  E4  from         AND_SW2  in sea/Room43
  E5  from         Kbota_A  in sea/Room43
  E5  from         AND_SW2  in sea/Room43
  E6  from         AND_SW2  in sea/Room43
  E6  from         AND_SW2  in sea/Room43
  E7  from         Kbota_A  in sea/Room43
  E7  from         AND_SW2  in sea/Room43
  E8  from         AND_SW2  in sea/Room43
  E8  from         AND_SW2  in sea/Room43
  E9  from         Kbota_A  in sea/Room43
  E9  from          tkrAOs  in sea/Room43
  EA  from         Kbota_A  in sea/Room43
  EA  from          tkrAOs  in sea/Room43
Room sea/Room44
  E0  from          SW_C00  in sea/Room44
  E3  from         AND_SW2  in sea/Room44
  E3  from          SW_C00  in sea/Room44
  E3  from            Puti  in sea/Room44/Layer5
  E3  from            Puti  in sea/Room44/Layer5
  E3  from            Puti  in sea/Room44/Layer5
  E3  from            Puti  in sea/Room44/Layer5
  E4  from         AND_SW2  in sea/Room44
  E4  from            Puti  in sea/Room44/Layer5
  E4  from            Puti  in sea/Room44/Layer5
  E4  from            Puti  in sea/Room44/Layer5
  E4  from            Puti  in sea/Room44/Layer5
  E5  from         AttTagB  in sea/Room44/Layer4
  E5  from          SW_C00  in sea/Room44/Layer4
  E5  from         AttTagB  in sea/Room44/Layer5
  E5  from          SW_C00  in sea/Room44/Layer5
  E7  from           TagHt  in sea/Room44
Room sea/Room45
  E0  from           Akabe  in sea/Room45
  E6  from           TagHt  in sea/Room45
Room sea/Room46
  E0  from          Ocanon  in sea/Room46
  E0  from         AND_SW2  in sea/Room46
  E1  from          Ocanon  in sea/Room46
