 kusax1:   ID 01B8,   Subtype FF,   GBAName 00,   REL d_a_grass
   agbA:   ID 01B6,   Subtype FF,   GBAName 00,   REL d_a_agbsw0
  agbAT:   ID 01B6,   Subtype FF,   GBAName 00,   REL d_a_agbsw0
  agbA2:   ID 01B6,   Subtype FF,   GBAName 00,   REL d_a_agbsw0
   agbF:   ID 01B6,   Subtype FF,   GBAName 00,   REL d_a_agbsw0
  agbF2:   ID 01B6,   Subtype FF,   GBAName 00,   REL d_a_agbsw0
agbMARK:   ID 01B6,   Subtype FF,   GBAName 00,   REL d_a_agbsw0
  agbMW:   ID 01B6,   Subtype FF,   GBAName 00,   REL d_a_agbsw0
 agbCSW:   ID 01B6,   Subtype FF,   GBAName 00,   REL d_a_agbsw0
agbTBOX:   ID 01B6,   Subtype FF,   GBAName 00,   REL d_a_agbsw0
   agbR:   ID 01B6,   Subtype FF,   GBAName 00,   REL d_a_agbsw0
   agbB:   ID 01B6,   Subtype FF,   GBAName 00,   REL d_a_agbsw0
   agbD:   ID 01B6,   Subtype FF,   GBAName 00,   REL d_a_agbsw0
  agbFA:   ID 01B6,   Subtype FF,   GBAName 00,   REL d_a_agbsw0
NoneCam:   ID 01E2,   Subtype FF,   GBAName 00,   REL [none]
NormCam:   ID 01E2,   Subtype FF,   GBAName 00,   REL [none]
   Link:   ID 00A9,   Subtype FF,   GBAName 00,   REL [none]
 kotubo:   ID 01CB,   Subtype 00,   GBAName 00,   REL d_a_tsubo
ootubo1:   ID 01CB,   Subtype 01,   GBAName 00,   REL d_a_tsubo
  Kmtub:   ID 01CB,   Subtype 02,   GBAName 00,   REL d_a_tsubo
  Ktaru:   ID 01CB,   Subtype 03,   GBAName 00,   REL d_a_tsubo
 Ostool:   ID 01CB,   Subtype 04,   GBAName 00,   REL d_a_tsubo
Odokuro:   ID 01CB,   Subtype 05,   GBAName 00,   REL d_a_tsubo
 Okioke:   ID 01CB,   Subtype 06,   GBAName 00,   REL d_a_tsubo
  Kmi02:   ID 01CB,   Subtype 07,   GBAName 00,   REL d_a_tsubo
  Ptubo:   ID 01CB,   Subtype 08,   GBAName 00,   REL d_a_tsubo
 KkibaB:   ID 01CB,   Subtype 09,   GBAName 00,   REL d_a_tsubo
  Kmi00:   ID 01CB,   Subtype 0A,   GBAName 00,   REL d_a_tsubo
 Hbox2S:   ID 01CB,   Subtype 0B,   GBAName 00,   REL d_a_tsubo
SW_HIT0:   ID 01C9,   Subtype FF,   GBAName 00,   REL d_a_swhit0
 koisi1:   ID 01CC,   Subtype 00,   GBAName 00,   REL d_a_stone
 koisi2:   ID 01CC,   Subtype 01,   GBAName 00,   REL d_a_stone
   Aygr:   ID 00A6,   Subtype FF,   GBAName 00,   REL d_a_obj_aygr
Salvage:   ID 0194,   Subtype FF,   GBAName 00,   REL d_a_salvage
 SwSlvg:   ID 0194,   Subtype FF,   GBAName 3F,   REL d_a_salvage
Salvag2:   ID 0194,   Subtype FF,   GBAName 3F,   REL d_a_salvage
SalvagN:   ID 0194,   Subtype FF,   GBAName 3F,   REL d_a_salvage
SalvagE:   ID 0194,   Subtype FF,   GBAName 3F,   REL d_a_salvage
 SalvFM:   ID 0194,   Subtype FF,   GBAName 3F,   REL d_a_salvage
osiBLK0:   ID 002D,   Subtype 00,   GBAName 3D,   REL d_a_obj_movebox
osiBLK1:   ID 002D,   Subtype 01,   GBAName 3D,   REL d_a_obj_movebox
  Kkiba:   ID 002D,   Subtype 02,   GBAName 3D,   REL d_a_obj_movebox
 Hseki2:   ID 002D,   Subtype 03,   GBAName 3D,   REL d_a_obj_movebox
 Hseki7:   ID 002D,   Subtype 04,   GBAName 3D,   REL d_a_obj_movebox
   Mmrr:   ID 002D,   Subtype 05,   GBAName 3D,   REL d_a_obj_movebox
 MkieBB:   ID 002D,   Subtype 06,   GBAName 3D,   REL d_a_obj_movebox
  Ecube:   ID 002D,   Subtype 07,   GBAName 3D,   REL d_a_obj_movebox
 Hjump1:   ID 002D,   Subtype 08,   GBAName 3D,   REL d_a_obj_movebox
  Hbox1:   ID 002D,   Subtype 09,   GBAName 3D,   REL d_a_obj_movebox
  MpwrB:   ID 002D,   Subtype 0A,   GBAName 3D,   REL d_a_obj_movebox
  DBLK0:   ID 002D,   Subtype 0B,   GBAName 3D,   REL d_a_obj_movebox
  DBLK1:   ID 002D,   Subtype 0C,   GBAName 3D,   REL d_a_obj_movebox
 DKkiba:   ID 002D,   Subtype 0D,   GBAName 3D,   REL d_a_obj_movebox
  Hbox2:   ID 002D,   Subtype 0E,   GBAName 3D,   REL d_a_obj_movebox
 BLK_CR:   ID 01D8,   Subtype 00,   GBAName 00,   REL d_a_obj_correct
 CrTrS3:   ID 01D8,   Subtype 01,   GBAName 00,   REL d_a_obj_correct
 CrTrS4:   ID 01D8,   Subtype 02,   GBAName 00,   REL d_a_obj_correct
 CrTrS5:   ID 01D8,   Subtype 03,   GBAName 00,   REL d_a_obj_correct
 CrTrM1:   ID 01D8,   Subtype 04,   GBAName 00,   REL d_a_obj_correct
 CrTrM2:   ID 01D8,   Subtype 05,   GBAName 00,   REL d_a_obj_correct
 CrTrGr:   ID 01D8,   Subtype 06,   GBAName 3D,   REL d_a_obj_correct
 CrTrBl:   ID 01D8,   Subtype 07,   GBAName 3D,   REL d_a_obj_correct
Kbota_A:   ID 001D,   Subtype 00,   GBAName 00,   REL d_a_obj_swpush
Kbota_B:   ID 001D,   Subtype 01,   GBAName 00,   REL d_a_obj_swpush
 KbotaC:   ID 001D,   Subtype 02,   GBAName 00,   REL d_a_obj_swpush
 Hhbot1:   ID 001E,   Subtype 00,   GBAName 00,   REL d_a_obj_swheavy
Hhbot1N:   ID 001E,   Subtype 01,   GBAName 00,   REL d_a_obj_swheavy
MhmrSW0:   ID 0021,   Subtype FF,   GBAName 00,   REL d_a_obj_swhammer
  TagSo:   ID 0025,   Subtype 00,   GBAName 00,   REL d_a_tag_so
 TagMSo:   ID 0025,   Subtype 01,   GBAName 00,   REL d_a_tag_so
PScnChg:   ID 01CA,   Subtype FF,   GBAName 00,   REL d_a_tag_ghostship
 ALLdie:   ID 0016,   Subtype FF,   GBAName 00,   REL d_a_alldie
  TagEv:   ID 019C,   Subtype FF,   GBAName 00,   REL d_a_tag_event
  TagHt:   ID 019D,   Subtype 00,   GBAName 00,   REL d_a_tag_hint
 TagHt2:   ID 019D,   Subtype 01,   GBAName 00,   REL d_a_tag_hint
 TagMsg:   ID 019E,   Subtype 00,   GBAName 00,   REL d_a_tag_msg
TagMsg2:   ID 019E,   Subtype 01,   GBAName 00,   REL d_a_tag_msg
 TagIsl:   ID 01A0,   Subtype 00,   GBAName 00,   REL d_a_tag_island
  TagMd:   ID 019F,   Subtype 00,   GBAName 00,   REL d_a_tag_etc
 TagKf1:   ID 01A1,   Subtype FF,   GBAName 00,   REL d_a_tag_kf1
 TagKk1:   ID 01A2,   Subtype FF,   GBAName 00,   REL d_a_tag_kk1
  TagKb:   ID 01A4,   Subtype FF,   GBAName 00,   REL d_a_tag_kb_item
  TagMk:   ID 01A5,   Subtype 00,   GBAName 00,   REL d_a_tag_mk
  TagWp:   ID 01A5,   Subtype 01,   GBAName 00,   REL d_a_tag_mk
  TagDM:   ID 01A5,   Subtype 02,   GBAName 00,   REL d_a_tag_mk
  TagTy:   ID 01A5,   Subtype 03,   GBAName 00,   REL d_a_tag_mk
 TagMd1:   ID 01A6,   Subtype 00,   GBAName 00,   REL d_a_tag_md_cb
 TagCb1:   ID 01A6,   Subtype 01,   GBAName 00,   REL d_a_tag_md_cb
TagMd11:   ID 01A6,   Subtype 02,   GBAName 00,   REL d_a_tag_md_cb
TagMd12:   ID 01A6,   Subtype 03,   GBAName 00,   REL d_a_tag_md_cb
TagMd13:   ID 01A6,   Subtype 04,   GBAName 00,   REL d_a_tag_md_cb
TagMd14:   ID 01A6,   Subtype 05,   GBAName 00,   REL d_a_tag_md_cb
TagMd15:   ID 01A6,   Subtype 06,   GBAName 00,   REL d_a_tag_md_cb
TagMd16:   ID 01A6,   Subtype 07,   GBAName 00,   REL d_a_tag_md_cb
TagCb11:   ID 01A6,   Subtype 08,   GBAName 00,   REL d_a_tag_md_cb
TagCb12:   ID 01A6,   Subtype 09,   GBAName 00,   REL d_a_tag_md_cb
TagCb13:   ID 01A6,   Subtype 0A,   GBAName 00,   REL d_a_tag_md_cb
TagCb14:   ID 01A6,   Subtype 0B,   GBAName 00,   REL d_a_tag_md_cb
 TagBa1:   ID 01A7,   Subtype 01,   GBAName 00,   REL d_a_tag_ba1
   Evsw:   ID 001C,   Subtype FF,   GBAName 00,   REL d_a_tag_evsw
 Search:   ID 0044,   Subtype FF,   GBAName 00,   REL [none]
  Otble:   ID 0042,   Subtype 00,   GBAName 00,   REL d_a_obj_otble
 OtbleL:   ID 0042,   Subtype 01,   GBAName 00,   REL d_a_obj_otble
  Warpt:   ID 0043,   Subtype 00,   GBAName 31,   REL d_a_obj_warpt
 Warpnt:   ID 0043,   Subtype 01,   GBAName 31,   REL d_a_obj_warpt
Warpts1:   ID 0043,   Subtype 02,   GBAName 31,   REL d_a_obj_warpt
Warpts2:   ID 0043,   Subtype 03,   GBAName 31,   REL d_a_obj_warpt
Warpts3:   ID 0043,   Subtype 04,   GBAName 31,   REL d_a_obj_warpt
 Seatag:   ID 0027,   Subtype FF,   GBAName 00,   REL d_a_seatag
  Warpf:   ID 006A,   Subtype FF,   GBAName 00,   REL d_a_warpf
    Hys:   ID 01C8,   Subtype FF,   GBAName 00,   REL d_a_hys
   Hys2:   ID 01C8,   Subtype FF,   GBAName 00,   REL d_a_hys
  Hsen1:   ID 012D,   Subtype FF,   GBAName 00,   REL d_a_fan
  Hsen2:   ID 012D,   Subtype FF,   GBAName 00,   REL d_a_fan
  Hsen3:   ID 012D,   Subtype FF,   GBAName 00,   REL d_a_fan
  Olift:   ID 007A,   Subtype FF,   GBAName 00,   REL d_a_leaflift
  Ylsic:   ID 005F,   Subtype FF,   GBAName 00,   REL d_a_icelift
  Yllic:   ID 005F,   Subtype FF,   GBAName 00,   REL d_a_icelift
  Ylkic:   ID 005F,   Subtype FF,   GBAName 00,   REL d_a_icelift
 Hpbot1:   ID 01B2,   Subtype FF,   GBAName 00,   REL d_a_swpropeller
  Vpbot:   ID 01B2,   Subtype FF,   GBAName 00,   REL d_a_swpropeller
  Hami1:   ID 0060,   Subtype FF,   GBAName 00,   REL d_a_amiprop
  HamiY:   ID 0060,   Subtype FF,   GBAName 00,   REL d_a_amiprop
  LTag0:   ID 01DB,   Subtype 00,   GBAName 00,   REL d_a_tag_light
  LTag1:   ID 01DB,   Subtype 01,   GBAName 00,   REL d_a_tag_light
 LTagR0:   ID 01DB,   Subtype 02,   GBAName 00,   REL d_a_tag_light
 AttTag:   ID 01DC,   Subtype 00,   GBAName 00,   REL d_a_tag_attention
AttTagB:   ID 01DC,   Subtype 01,   GBAName 00,   REL d_a_tag_attention
  Ikori:   ID 01D2,   Subtype FF,   GBAName 00,   REL d_a_obj_ice
  MsuSW:   ID 0020,   Subtype 00,   GBAName 00,   REL d_a_obj_swlight
 MsuSWB:   ID 0020,   Subtype 01,   GBAName 00,   REL d_a_obj_swlight
 SWat00:   ID 0138,   Subtype FF,   GBAName 00,   REL d_a_swattack
 ITat00:   ID 0139,   Subtype FF,   GBAName 00,   REL d_a_switem
 SWtact:   ID 013A,   Subtype FF,   GBAName 00,   REL d_a_swtact
SWtactB:   ID 013A,   Subtype FF,   GBAName 00,   REL d_a_swtact
  Hhyu1:   ID 0062,   Subtype FF,   GBAName 00,   REL d_a_floor
 Oyashi:   ID 004B,   Subtype FF,   GBAName 00,   REL d_a_obj_lpalm
 Kanban:   ID 00B7,   Subtype FF,   GBAName 34,   REL d_a_kanban
     kt:   ID 00B9,   Subtype FF,   GBAName 00,   REL d_a_kt
     ho:   ID 00BC,   Subtype FF,   GBAName 00,   REL d_a_ff
    mo2:   ID 00BD,   Subtype FF,   GBAName 02,   REL d_a_mo2
  moZOU:   ID 00FB,   Subtype FF,   GBAName 00,   REL d_a_mozo
 hotest:   ID 00B5,   Subtype FF,   GBAName 00,   REL d_a_rectangle
    Kui:   ID 00FC,   Subtype FF,   GBAName 00,   REL d_a_kui
 Kamome:   ID 00C3,   Subtype FF,   GBAName 00,   REL d_a_kamome
   item:   ID 0101,   Subtype FF,   GBAName 00,   REL [none]
itemFLY:   ID 0101,   Subtype FF,   GBAName 00,   REL [none]
itemDek:   ID 0106,   Subtype FF,   GBAName 00,   REL d_a_deku_item
   Ship:   ID 00A7,   Subtype FF,   GBAName 00,   REL d_a_ship
AND_SW0:   ID 0135,   Subtype FF,   GBAName 00,   REL d_a_andsw0
AND_SW2:   ID 0136,   Subtype FF,   GBAName 00,   REL d_a_andsw2
     Bb:   ID 00B6,   Subtype FF,   GBAName 1A,   REL d_a_bb
 Ebrock:   ID 01CD,   Subtype 00,   GBAName 00,   REL d_a_stone2
   Ekao:   ID 01CD,   Subtype 01,   GBAName 00,   REL d_a_stone2
Ebrock2:   ID 01CD,   Subtype 02,   GBAName 00,   REL d_a_stone2
ky_tag0:   ID 0181,   Subtype FF,   GBAName 00,   REL d_a_kytag00
kytag00:   ID 0181,   Subtype FF,   GBAName 00,   REL d_a_kytag00
ky00you:   ID 0181,   Subtype FF,   GBAName 00,   REL d_a_kytag00
ky_tag1:   ID 0182,   Subtype FF,   GBAName 00,   REL d_a_kytag01
ky_tag2:   ID 0183,   Subtype FF,   GBAName 00,   REL d_a_kytag02
ky_tag3:   ID 0184,   Subtype FF,   GBAName 00,   REL d_a_kytag03
 kytag4:   ID 0185,   Subtype FF,   GBAName 00,   REL d_a_kytag04
 kytag5:   ID 0186,   Subtype FF,   GBAName 00,   REL d_a_kytag05
 kytag6:   ID 0187,   Subtype FF,   GBAName 00,   REL d_a_kytag06
 kytag7:   ID 0188,   Subtype FF,   GBAName 00,   REL d_a_kytag07
    sea:   ID 0028,   Subtype FF,   GBAName 00,   REL [none]
 nezumi:   ID 00C7,   Subtype FF,   GBAName 18,   REL d_a_nz
nezuana:   ID 00C8,   Subtype FF,   GBAName 00,   REL d_a_nzg
   kani:   ID 00C9,   Subtype FF,   GBAName 00,   REL d_a_kn
Demo_Dk:   ID 00CA,   Subtype FF,   GBAName 00,   REL d_a_demo_dk
  DmKmm:   ID 00C6,   Subtype 00,   GBAName 00,   REL d_a_demo_kmm
 DmKmm2:   ID 00C6,   Subtype 01,   GBAName 00,   REL d_a_demo_kmm
   amos:   ID 00CB,   Subtype FF,   GBAName 0C,   REL d_a_am
  amos2:   ID 00CC,   Subtype FF,   GBAName 0B,   REL d_a_am2
   gmos:   ID 00CD,   Subtype FF,   GBAName 09,   REL d_a_gm
 gmos_g:   ID 00CD,   Subtype FF,   GBAName 09,   REL d_a_gm
 gmos_f:   ID 00CD,   Subtype FF,   GBAName 09,   REL d_a_gm
 kuro_s:   ID 00CE,   Subtype FF,   GBAName 14,   REL d_a_ks
 kuro_t:   ID 00CE,   Subtype FF,   GBAName 00,   REL d_a_ks
c_green:   ID 00CF,   Subtype FF,   GBAName 16,   REL d_a_cc
  c_red:   ID 00CF,   Subtype FF,   GBAName 15,   REL d_a_cc
 c_blue:   ID 00CF,   Subtype FF,   GBAName 1E,   REL d_a_cc
c_black:   ID 00CF,   Subtype FF,   GBAName 10,   REL d_a_cc
c_kiiro:   ID 00CF,   Subtype FF,   GBAName 0A,   REL d_a_cc
  bable:   ID 00D0,   Subtype FF,   GBAName 0F,   REL d_a_bl
bable_r:   ID 00D0,   Subtype FF,   GBAName 0E,   REL d_a_bl
  wiz_r:   ID 00D1,   Subtype FF,   GBAName 11,   REL d_a_wz
  wiz_s:   ID 00D1,   Subtype FF,   GBAName 11,   REL d_a_wz
  wiz_m:   ID 00D1,   Subtype FF,   GBAName 11,   REL d_a_wz
  wiz_o:   ID 00D1,   Subtype FF,   GBAName 11,   REL d_a_wz
  p_hat:   ID 00D2,   Subtype FF,   GBAName 08,   REL d_a_ph
p_zelda:   ID 00D3,   Subtype FF,   GBAName 3C,   REL d_a_pz
big_pow:   ID 00D4,   Subtype FF,   GBAName 00,   REL d_a_bpw
    pow:   ID 00D5,   Subtype FF,   GBAName 0D,   REL d_a_pw
sea_hat:   ID 00D2,   Subtype FF,   GBAName 1F,   REL d_a_ph
  jbaba:   ID 00D6,   Subtype FF,   GBAName 21,   REL d_a_jbo
  bbaba:   ID 00D7,   Subtype FF,   GBAName 07,   REL d_a_bo
 bridge:   ID 005B,   Subtype FF,   GBAName 00,   REL d_a_bridge
 dragon:   ID 00DF,   Subtype FF,   GBAName 00,   REL d_a_dr
     Nh:   ID 013B,   Subtype FF,   GBAName 00,   REL [none]
  NpcSo:   ID 0078,   Subtype FF,   GBAName 00,   REL d_a_npc_so
  NpcNz:   ID 0077,   Subtype FF,   GBAName 00,   REL d_a_npc_nz
     Os:   ID 013C,   Subtype 00,   GBAName 00,   REL d_a_npc_os
    Os1:   ID 013C,   Subtype 01,   GBAName 00,   REL d_a_npc_os
    Os2:   ID 013C,   Subtype 02,   GBAName 00,   REL d_a_npc_os
    Ym1:   ID 013D,   Subtype FF,   GBAName 3B,   REL d_a_npc_ym1
    Ym2:   ID 013E,   Subtype FF,   GBAName 3B,   REL d_a_npc_ym1
    Yw1:   ID 013F,   Subtype FF,   GBAName 3C,   REL d_a_npc_yw1
    Ji1:   ID 0140,   Subtype FF,   GBAName 3B,   REL d_a_npc_ji1
    Ko1:   ID 0141,   Subtype FF,   GBAName 3B,   REL d_a_npc_ko1
    Ko2:   ID 0142,   Subtype FF,   GBAName 3B,   REL d_a_npc_ko1
    Ls1:   ID 0143,   Subtype FF,   GBAName 3C,   REL d_a_npc_ls1
    Bm1:   ID 0148,   Subtype FF,   GBAName 3B,   REL d_a_npc_bm1
    Bm2:   ID 0149,   Subtype FF,   GBAName 3B,   REL d_a_npc_bm1
    Bm3:   ID 014A,   Subtype FF,   GBAName 3B,   REL d_a_npc_bm1
    Bm4:   ID 014B,   Subtype FF,   GBAName 3B,   REL d_a_npc_bm1
    Bm5:   ID 014C,   Subtype FF,   GBAName 3B,   REL d_a_npc_bm1
 Bmcon1:   ID 015C,   Subtype 00,   GBAName 00,   REL d_a_npc_bmcon1
 Bmcon2:   ID 015C,   Subtype 01,   GBAName 00,   REL d_a_npc_bmcon1
   Bmsw:   ID 015E,   Subtype FF,   GBAName 00,   REL d_a_npc_bmsw
   Btsw:   ID 015F,   Subtype FF,   GBAName 00,   REL d_a_npc_btsw
  Btsw2:   ID 0160,   Subtype FF,   GBAName 3B,   REL d_a_npc_btsw2
    Zk1:   ID 0175,   Subtype FF,   GBAName 3B,   REL d_a_npc_zk1
    Zl1:   ID 01AD,   Subtype FF,   GBAName 3C,   REL d_a_npc_zl1
    Ob1:   ID 014D,   Subtype FF,   GBAName 3C,   REL d_a_npc_ob1
    Aj1:   ID 014E,   Subtype FF,   GBAName 3B,   REL d_a_npc_aj1
    Km1:   ID 014F,   Subtype FF,   GBAName 3C,   REL d_a_npc_km1
    Cb1:   ID 0150,   Subtype FF,   GBAName 3B,   REL d_a_npc_cb1
    Ba1:   ID 0151,   Subtype FF,   GBAName 3C,   REL d_a_npc_ba1
    Bj1:   ID 0152,   Subtype FF,   GBAName 3B,   REL d_a_npc_bj1
    Bj2:   ID 0153,   Subtype FF,   GBAName 3B,   REL d_a_npc_bj1
    Bj3:   ID 0154,   Subtype FF,   GBAName 3B,   REL d_a_npc_bj1
    Bj4:   ID 0155,   Subtype FF,   GBAName 3B,   REL d_a_npc_bj1
    Bj5:   ID 0156,   Subtype FF,   GBAName 3B,   REL d_a_npc_bj1
    Bj6:   ID 0157,   Subtype FF,   GBAName 3B,   REL d_a_npc_bj1
    Bj7:   ID 0158,   Subtype FF,   GBAName 3B,   REL d_a_npc_bj1
    Bj8:   ID 0159,   Subtype FF,   GBAName 3B,   REL d_a_npc_bj1
    Bj9:   ID 015A,   Subtype FF,   GBAName 3B,   REL d_a_npc_bj1
    Bs1:   ID 015B,   Subtype 00,   GBAName 3B,   REL d_a_npc_bs1
    Bs2:   ID 015B,   Subtype 01,   GBAName 00,   REL d_a_npc_bs1
   Bms1:   ID 015D,   Subtype 00,   GBAName 00,   REL d_a_npc_bms1
   Bms2:   ID 015D,   Subtype 01,   GBAName 00,   REL d_a_npc_bms1
    Ds1:   ID 0161,   Subtype FF,   GBAName 3B,   REL d_a_npc_ds1
   Rsh1:   ID 0162,   Subtype FF,   GBAName 3B,   REL d_a_npc_rsh1
    Kk1:   ID 0163,   Subtype FF,   GBAName 3C,   REL d_a_npc_kk1
    Pm1:   ID 0164,   Subtype FF,   GBAName 3C,   REL d_a_npc_pm1
    Kp1:   ID 0165,   Subtype FF,   GBAName 3C,   REL d_a_npc_kp1
    Pf1:   ID 0166,   Subtype FF,   GBAName 3B,   REL d_a_npc_pf1
    Gp1:   ID 0167,   Subtype FF,   GBAName 3B,   REL d_a_npc_gp1
    Jb1:   ID 0168,   Subtype FF,   GBAName 00,   REL d_a_npc_jb1
    Kf1:   ID 0169,   Subtype FF,   GBAName 3B,   REL d_a_npc_kf1
    De1:   ID 0076,   Subtype FF,   GBAName 3B,   REL d_a_npc_de1
 Sfairy:   ID 016A,   Subtype FF,   GBAName 00,   REL [none]
    Md1:   ID 0171,   Subtype FF,   GBAName 3C,   REL d_a_npc_md
    Uo1:   ID 0177,   Subtype 00,   GBAName 3B,   REL d_a_npc_people
    Uo2:   ID 0177,   Subtype 01,   GBAName 3B,   REL d_a_npc_people
    Uo3:   ID 0177,   Subtype 02,   GBAName 3B,   REL d_a_npc_people
    Ub1:   ID 0177,   Subtype 03,   GBAName 00,   REL d_a_npc_people
    Ub2:   ID 0177,   Subtype 04,   GBAName 00,   REL d_a_npc_people
    Ub3:   ID 0177,   Subtype 05,   GBAName 00,   REL d_a_npc_people
    Ub4:   ID 0177,   Subtype 06,   GBAName 00,   REL d_a_npc_people
    Uw1:   ID 0177,   Subtype 07,   GBAName 00,   REL d_a_npc_people
    Uw2:   ID 0177,   Subtype 08,   GBAName 00,   REL d_a_npc_people
    Um1:   ID 0177,   Subtype 09,   GBAName 00,   REL d_a_npc_people
    Um2:   ID 0177,   Subtype 0A,   GBAName 00,   REL d_a_npc_people
    Um3:   ID 0177,   Subtype 0B,   GBAName 00,   REL d_a_npc_people
    Sa1:   ID 0177,   Subtype 0C,   GBAName 00,   REL d_a_npc_people
    Sa2:   ID 0177,   Subtype 0D,   GBAName 00,   REL d_a_npc_people
    Sa3:   ID 0177,   Subtype 0E,   GBAName 00,   REL d_a_npc_people
